,COVID,household,Occupancy,daily_sum
0,False,0,Multiple,153.80327868852459
1,False,1,Multiple,78.34426229508196
2,False,2,Single,88.8360655737705
3,False,3,Multiple,181.62295081967216
4,False,4,Multiple,150.6949152542373
5,False,5,Multiple,152.85245901639345
6,False,6,Multiple,111.80327868852459
7,False,7,Single,115.14035087719299
8,False,8,Single,72.98360655737704
9,False,9,Multiple,112.93442622950819
10,False,10,Multiple,69.06557377049181
11,False,11,Multiple,108.47540983606558
12,False,12,Multiple,71.65573770491804
13,False,13,Multiple,220.49180327868854
14,False,14,Multiple,159.85245901639345
15,False,15,Multiple,224.32786885245903
16,False,16,Single,83.56818181818181
17,False,17,Multiple,116.01639344262296
18,False,18,Single,142.9016393442623
19,False,19,Multiple,144.81967213114754
20,False,20,Multiple,167.7704918032787
21,True,0,Multiple,198.3479262672811
22,True,1,Multiple,102.73924731182797
23,True,2,Single,156.12616822429905
24,True,3,Multiple,150.01041666666669
25,True,4,Multiple,201.8632075471698
26,True,5,Multiple,193.35483870967744
27,True,6,Multiple,139.11290322580646
28,True,7,Single,129.10071942446044
29,True,8,Single,97.29032258064515
30,True,9,Multiple,143.29479768786126
31,True,10,Multiple,188.87764705882353
32,True,11,Multiple,167.63133640552996
33,True,12,Multiple,45.46651270207852
34,True,13,Multiple,290.38366336633663
35,True,14,Multiple,151.3364055299539
36,True,15,Multiple,286.15513126491646
37,True,16,Single,138.74540682414698
38,True,17,Multiple,204.0921658986175
39,True,18,Single,224.1352657004831
40,True,19,Multiple,189.3824884792627
41,True,20,Multiple,294.47685185185185
