,Period,household,daily_sum
0,P1,0,153.80327868852459
1,P1,1,78.34426229508196
2,P1,2,88.8360655737705
3,P1,3,181.62295081967216
4,P1,4,150.6949152542373
5,P1,5,152.85245901639345
6,P1,6,111.80327868852459
7,P1,7,115.14035087719299
8,P1,8,72.98360655737704
9,P1,9,112.93442622950819
10,P1,10,69.06557377049181
11,P1,11,108.47540983606558
12,P1,12,71.65573770491804
13,P1,13,220.49180327868854
14,P1,14,159.85245901639345
15,P1,15,224.32786885245903
16,P1,16,83.56818181818181
17,P1,17,116.01639344262296
18,P1,18,142.9016393442623
19,P1,19,144.81967213114754
20,P1,20,167.7704918032787
21,P2,0,170.0
22,P2,1,105.35849056603774
23,P2,2,147.54716981132077
24,P2,3,166.86274509803923
25,P2,4,208.64583333333331
26,P2,5,191.9811320754717
27,P2,6,136.69811320754718
28,P2,7,123.39622641509435
29,P2,8,93.8679245283019
30,P2,9,167.22641509433964
31,P2,10,167.75555555555553
32,P2,11,161.16981132075472
33,P2,12,58.67924528301887
34,P2,13,319.52830188679246
35,P2,14,232.67924528301887
36,P2,15,302.35849056603774
37,P2,16,120.15384615384616
38,P2,17,174.7358490566038
39,P2,18,178.58490566037736
40,P2,19,177.73584905660377
41,P2,20,275.07547169811323
42,P3,0,227.5
43,P3,1,120.39285714285715
44,P3,2,187.6265060240964
45,P3,3,125.85483870967741
46,P3,4,219.35714285714286
47,P3,5,227.92857142857144
48,P3,6,147.72619047619048
49,P3,7,144.54761904761904
50,P3,8,109.94047619047619
51,P3,9,154.46875
52,P3,10,175.3095238095238
53,P3,11,179.47619047619045
54,P3,12,50.547619047619044
55,P3,13,296.8809523809524
56,P3,14,237.79761904761904
57,P3,15,322.39285714285717
58,P3,16,168.09375
59,P3,17,166.10714285714286
60,P3,18,261.641975308642
61,P3,19,212.88095238095238
62,P3,20,307.2738095238095
63,P4,0,197.22302158273382
64,P4,1,104.39370078740157
65,P4,2,154.7111111111111
66,P4,3,131.6484375
67,P4,4,207.1521739130435
68,P4,5,185.68345323741005
69,P4,6,130.84892086330936
70,P4,7,126.28057553956835
71,P4,8,100.5251798561151
72,P4,9,145.25179856115108
73,P4,10,185.6086956521739
74,P4,11,159.9568345323741
75,P4,12,43.31159420289855
76,P4,13,298.4460431654676
77,P4,14,138.68345323741008
78,P4,15,245.42741935483872
79,P4,16,114.9064748201439
80,P4,17,222.46762589928056
81,P4,18,255.04918032786884
82,P4,19,185.78417266187049
83,P4,20,291.8175182481752
84,P5,0,188.62962962962965
85,P5,1,88.22222222222221
86,P5,2,147.92592592592592
87,P5,3,118.1
88,P5,4,202.77777777777777
89,P5,5,176.11111111111111
90,P5,6,136.74074074074076
91,P5,7,142.18518518518516
92,P5,8,98.44444444444446
93,P5,9,121.74074074074073
94,P5,10,190.03703703703704
95,P5,11,155.14814814814812
96,P5,12,40.25925925925925
97,P5,13,254.48148148148147
98,P5,14,109.66666666666667
99,P5,15,288.22222222222223
100,P5,16,137.48148148148147
101,P5,17,248.4074074074074
102,P5,18,211.0
103,P5,19,169.88888888888889
104,P5,20,305.5925925925926
105,P6,0,201.82857142857145
106,P6,1,89.14285714285714
107,P6,2,151.44117647058823
108,P6,3,136.22222222222223
109,P6,4,169.93548387096774
110,P6,5,176.6
111,P6,6,142.54285714285714
112,P6,7,127.80000000000001
113,P6,8,96.8
114,P6,9,119.07142857142858
115,P6,10,209.4857142857143
116,P6,11,155.28571428571428
117,P6,12,37.028571428571425
118,P6,13,260.85714285714283
119,P6,14,120.54285714285714
120,P6,15,317.2
121,P6,16,167.37142857142857
122,P6,17,254.2857142857143
123,P6,18,196.25714285714287
124,P6,19,183.62857142857143
125,P6,20,332.6857142857143
126,P7,0,191.58333333333334
127,P7,1,84.08955223880598
128,P7,2,139.58333333333334
129,P7,3,191.66666666666669
130,P7,4,185.61458333333331
131,P7,5,185.92708333333334
132,P7,6,144.29166666666666
133,P7,7,117.56962025316454
134,P7,8,83.28125
135,P7,9,116.06122448979592
136,P7,10,207.51041666666666
137,P7,11,179.95833333333334
138,P7,12,41.36458333333333
139,P7,13,272.07575757575756
140,P7,14,72.04166666666666
141,P7,15,286.2083333333333
142,P7,16,163.46875
143,P7,17,196.16666666666666
144,P7,18,192.20833333333331
145,P7,19,188.04166666666669
146,P7,20,280.7291666666667
